time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_dop,OGM_pop,PHS_frp_ads,OGM_pon,OXY_oxy
2013-10-03,0.012246968,18.7647619,0,3.567829067,1.708211144,0.063176914,313.9795527,31.39795527,3.072219711,0.089334756,0.74083589,0.063176914,22.37393719,273.9486911
2013-10-04,0.012246968,18.67285714,0,3.749244104,1.67888563,0.063176914,313.814734,31.38147341,3.070072333,0.089192269,0.739553506,0.063176914,22.20252126,274.4618435
2013-10-05,0.012246968,18.58095238,0,3.930659141,1.649560117,0.063176914,313.6499154,31.36499154,3.067924955,0.089049782,0.738271122,0.063176914,22.03110533,274.9767145
2013-10-06,0.012246968,18.48904762,0,4.112074179,1.620234604,0.063176914,313.4850967,31.34850967,3.065777577,0.088907295,0.736988738,0.063176914,21.85968941,275.4933127
2013-10-07,0.030362975,18.39714286,0,4.293489216,1.590909091,0.063176914,313.3202781,31.33202781,3.063630199,0.088764808,0.735706354,0.063176914,21.68827348,276.0116467
2013-10-08,0.03041865,18.3052381,0,4.474904253,1.561583578,0.063176914,313.1554595,31.31554594,3.061482821,0.088622321,0.73442397,0.063176914,21.51685756,276.5317251
2013-10-09,0.012400223,18.21333333,0,4.65631929,1.532258065,0.063176914,312.9906408,31.29906407,3.059335443,0.088479833,0.733141586,0.063176914,21.34544163,277.0535565
2013-10-10,0.013959335,18.12142857,0,4.244535952,1.359447005,0.062274387,312.8258221,31.28258221,3.057188065,0.088337346,0.73276173,0.062274387,21.91070963,277.5771498
2013-10-11,0.013861755,18.02952381,0,3.832752613,1.186635945,0.06137186,312.6610035,31.26610034,3.055040687,0.088194859,0.732381873,0.06137186,22.47597763,278.1025136
2013-10-12,0.013404541,17.93761905,0,3.420969275,1.013824885,0.060469332,312.4961848,31.24961848,3.052893309,0.088052372,0.732002017,0.060469332,23.04124562,278.6296569
